Name,category,Description,source_url,site_url,blog_url,hex_url
a11ytables,Useful,Generate best-practice stats spreadsheets for publication,https://github.com/co-analysis/a11ytables,https://co-analysis.github.io/a11ytables/,https://www.rostrum.blog/#category=a11ytables,
ActionSquirrel,Concept,A squirrel game in your R console made with {R6},https://github.com/matt-dray/ActionSquirrel,,https://www.rostrum.blog/posts/2021-10-03-squirrel/,
altcheckr,Useful,Assess image alternative (alt) text on websites,https://github.com/matt-dray/altcheckr,https://matt-dray.github.io/altcheckr/,https://www.rostrum.blog/posts/2019-12-08-altcheckr/,
backtick,Useful,Insert backtick structures with an RStudio Addin,https://github.com/matt-dray/backtick,,https://www.rostrum.blog/posts/2022-02-19-backtick/,
badgr,Useful,Generate URLs for shields.io metadata badges ,https://github.com/matt-dray/badgr,https://matt-dray.github.io/badgr/,https://www.rostrum.blog/posts/2020-05-08-badgr/,
bd2q,Useful,Helpers to convert a {blogdown} blog to Quarto ,https://github.com/matt-dray/bd2q,,https://www.rostrum.blog/posts/2023-05-07-bd2q/,
blogsnip,Useful,"RStudio addin to insert Rmd code snippets, especially for {blogdown} ",https://github.com/matt-dray/blogsnip,https://matt-dray.github.io/blogsnip/,https://www.rostrum.blog/posts/2019-10-2-blogsnip/,
coloratio,Useful,Check accessibility of color contrasts ,https://github.com/matt-dray/coloratio,https://matt-dray.github.io/coloratio/,https://www.rostrum.blog/posts/2020-12-30-coloratio/,
cran,Concept,Convert volume measurements to units of uncleaned herring ,https://github.com/matt-dray/cran,,https://www.rostrum.blog/posts/2020-09-12-herring-units/,
choosethis,Concept,"Off-label concepts for executing R code from links in the console, using {cli} ",https://github.com/matt-dray/choosethis,,https://www.rostrum.blog/posts/2023-09-17-choosethis/,
dehex,Useful,Learn to assess a colour hex code by eye ,https://github.com/matt-dray/dehex,https://matt-dray.github.io/dehex/,https://www.rostrum.blog/index.html#category=dehex,
defenestrate,Useful,Personal helpers wrapping {Microsoft365R},https://github.com/matt-dray/defenestrate,,,
dialga,Useful,Translate R to cron to English ,https://github.com/matt-dray/dialga,,https://www.rostrum.blog/posts/2021-04-10-dialga/,
emojiscape,Concept,Print a little emoji scene to your console ,https://github.com/matt-dray/emojiscape,,https://www.rostrum.blog/posts/2021-06-26-emojiscape,
gdstheme,Useful,"{xaringan} theme and template, (unofficial) Government Digital Service style ",https://github.com/matt-dray/gdstheme,https://matt-dray.github.io/gdstheme/,https://www.rostrum.blog/posts/2019-05-24-xaringan-template/,
ghdump,Useful,Download/clone all of a user's GitHub repositories for archiving purposes ,https://github.com/matt-dray/ghdump,,https://www.rostrum.blog/posts/2020-06-14-ghdump/,
gpx3d,Useful,Make an interactive 3D chart of your workout route from a GPX file,https://github.com/matt-dray/gpx3d,https://matt-dray.github.io/gpx3d/,https://www.rostrum.blog/index.html#category=gpx3d,
hokey,Concept,Tiny demos of {keypress} ,https://github.com/matt-dray/hokey,,https://www.rostrum.blog/posts/2022-01-19-keypress/,
hiscore,Concept,A game with a system for saving high scores persistently ,https://github.com/matt-dray/hiscore,,https://www.rostrum.blog/posts/2023-07-15-hiscore/,
kevinbacran,Concept,The Six Degrees of Kevin Bacon but for CRAN authors,https://github.com/matt-dray/kevinbacran,https://matt-dray.github.io/kevinbacran/,https://www.rostrum.blog/posts/2019-02-27-hadley-number/,
linkrot,Useful,Detect 'link rot' on webpages ,https://github.com/matt-dray/linkrot,,https://www.rostrum.blog/posts/2021-07-10-linkrot/,
