Title,Where,When,Description,slides_url,video_url,blog_url,source_url
Base slaps!,"NHS-R Conference, Birmingham",Oct 2023,"Base R is good for stability, minimising dependencies and ‘modern’, actually",https://matt-dray.github.io/nhs-r-2023/,,https://www.rostrum.blog/posts/2023-10-17-nhs-r-2023/,https://github.com/matt-dray/nhs-r-2023
Panic! In The Toolshed,"Cross-Government Data Science Community Meetup, remote",Jun 2023,Public sector workers should prepare to share the tools that they make,https://matt-dray.github.io/government-toolshed/,,https://www.rostrum.blog/2023/06/13/panic-in-the-toolshed/,https://github.com/matt-dray/government-toolshed
Fun and Learning. In a Dungeon!,"Home Office Data Science Conference, London",Mar 2023,Learning to code is more fun when you’re doing something silly?,https://matt-dray.github.io/in-a-dungeon/,,https://www.rostrum.blog/2023/03/15/in-a-dungeon/,https://github.com/matt-dray/in-a-dungeon
Create reproducible and accessible spreadsheets with {a11ytables},"NHS-R Webinar, remote",Jan 2023,Generate best-practice spreadsheets with help from the {a11ytables} R package,https://matt-dray.github.io/earl22-presentation/,https://www.youtube.com/watch?v=VcEZBYDBJwo,https://www.rostrum.blog/2022/09/07/earl22/,https://github.com/matt-dray/earl22-presentation
Create reproducible and accessible spreadsheets with {a11ytables},"EARL 2022 conference, London",Sep 2022,Generate best-practice spreadsheets with help from the {a11ytables} R package,https://matt-dray.github.io/earl22-presentation/,https://videos.ctfassets.net/k26sw1bgepr3/6QYherR2skslFhYvbWWuYR/d5f0cda59597cb1bfa0d163662ce5a01/Stream_1_Matt_Dray.mp4,https://www.rostrum.blog/2022/09/07/earl22/,https://github.com/matt-dray/earl22-presentation
Make a Twitter bot with {rtweet} and GitHub Actions,"LondonR, London",Feb 2022,"Use free tools to create a simple automated Twitter bot that tweets on schedule, using londonmapbot as an example",https://matt-dray.github.io/mapbot-londonr/,https://player.vimeo.com/video/683004567,https://www.rostrum.blog/2022/02/12/mapbotr-londonr/,https://github.com/matt-dray/mapbot-londonr
Hit your reproducibility {targets},"Data Science Festival, UK Government",Sep 2020,Introduction and demo of the {targets} package for workflow reproducibility in R,https://matt-dray.github.io/targets-dsfest/,,https://www.rostrum.blog/2020/09/27/targets-dsfest/,https://github.com/matt-dray/targets-dsfest
{drake} for reproducible workflows,"Bionformatics London Meetup, London",Jan 2020,Introduction and demo of the {drake} package for workflow reproducibility in R,https://matt-dray.github.io/drake-bioinformatics/,,https://github.com/matt-dray/drake-bioinformatics,https://github.com/matt-dray/drake-bioinformatics
Reproducibility in R: three things,"Data Science Week, Department for Education",Jan 2020,Advice on making your R projects more reproducible,https://matt-dray.github.io/reproducibility-ds-week/,,https://www.rostrum.blog/2020/01/22/repro-three-things/,https://github.com/matt-dray/reproducibility-ds-week
Easier R packages with {usethis},"Coffee & Coding, UK Government, London",Nov 2019,How to build an R package from scratch with the {usethis} package,https://matt-dray.github.io/r-pkg-slides/,,https://www.rostrum.blog/2019/11/01/usethis/,https://github.com/matt-dray/r-pkg-slides
Can {drake} RAP?,"Coffee & Coding, London",Oct 2019,Introduction and demo of the {drake} package for workflows as part of a Reproducible Analytical Pipeline (RAP),https://www.rostrum.blog/2019/11/01/usethis/,,https://www.rostrum.blog/2019/07/23/can-drake-rap/,
{crosstalk}: Shiny-like without Shiny,"EARL 2018 conference, London",Sep 2018,Intro and demo of the {crosstalk} package to allow HTML widgets to update dynamically without {shiny},https://matt-dray.github.io/earl18-presentation/#1,,https://www.rostrum.blog/2018/09/12/crosstalk-memes/,https://github.com/matt-dray/earl18-presentation
